192.168.2.107, 2022-06-15 16:16:24, GET, /admin/default/edit/getbooks/views/index.html, HTTP/1.1, 200, 0.578201
192.168.2.107, 2022-06-15 16:16:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001992
192.168.2.107, 2022-06-15 16:16:24, GET, /admin/default/edit/getbooks/views/index.html, HTTP/1.1, 200, 0.182511
192.168.2.107, 2022-06-15 16:16:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.214451
192.168.2.107, 2022-06-15 16:16:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.335831
192.168.2.107, 2022-06-15 16:16:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.376691
192.168.2.107, 2022-06-15 16:16:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.230084
192.168.2.107, 2022-06-15 16:16:25, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 1.105317
192.168.2.107, 2022-06-15 16:16:31, POST, /admin/default/edit/getbooks/views/index.html, HTTP/1.1, 200, 0.048475
192.168.2.107, 2022-06-15 16:16:41, GET, /getbooks/default/index, HTTP/1.1, 200, 0.127208
192.168.2.107, 2022-06-15 16:16:41, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.001998
192.168.2.107, 2022-06-15 16:17:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.107746
192.168.2.107, 2022-06-15 16:17:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.783504
192.168.2.107, 2022-06-15 16:17:25, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116687
192.168.2.107, 2022-06-15 16:17:25, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.795078
192.168.2.107, 2022-06-15 16:17:33, POST, /admin/default/edit/getbooks/controllers/default.py, HTTP/1.1, 200, 0.059840
192.168.2.107, 2022-06-15 16:17:35, GET, /getbooks/default/index, HTTP/1.1, 200, 0.137255
192.168.2.107, 2022-06-15 16:17:35, GET, /getbooks/static/images/background.jpg, HTTP/1.1, 404, 0.001584
192.168.2.107, 2022-06-15 16:17:42, GET, /admin/default/peek/getbooks/views/index.html, HTTP/1.1, 200, 0.080783
192.168.2.107, 2022-06-15 16:17:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:17:44, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.637909
192.168.2.107, 2022-06-15 16:17:44, GET, /favicon.ico, HTTP/1.1, 400, 0.001995
192.168.2.107, 2022-06-15 16:18:11, GET, /admin/default/edit/getbooks/views/index.html, HTTP/1.1, 200, 0.107711
192.168.2.107, 2022-06-15 16:18:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001995
192.168.2.107, 2022-06-15 16:18:11, GET, /admin/default/edit/getbooks/views/index.html, HTTP/1.1, 200, 0.167160
192.168.2.107, 2022-06-15 16:18:12, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.287836
192.168.2.107, 2022-06-15 16:18:12, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.325749
192.168.2.107, 2022-06-15 16:18:12, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.358647
192.168.2.107, 2022-06-15 16:18:12, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.223403
192.168.2.107, 2022-06-15 16:18:12, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 1.043939
192.168.2.107, 2022-06-15 16:18:14, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.675771
192.168.2.107, 2022-06-15 16:18:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000996
192.168.2.107, 2022-06-15 16:18:16, GET, /admin/default/peek/getbooks/views/index.html, HTTP/1.1, 200, 0.076795
192.168.2.107, 2022-06-15 16:18:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000960
192.168.2.107, 2022-06-15 16:18:19, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.677765
192.168.2.107, 2022-06-15 16:18:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001031
192.168.2.107, 2022-06-15 16:18:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108709
192.168.2.107, 2022-06-15 16:18:23, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 0.795637
192.168.2.107, 2022-06-15 16:18:25, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.638947
192.168.2.107, 2022-06-15 16:18:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000997
192.168.2.107, 2022-06-15 16:18:33, GET, /admin/default/delete/getbooks/views/index.html, HTTP/1.1, 200, 0.108336
192.168.2.107, 2022-06-15 16:18:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
192.168.2.107, 2022-06-15 16:18:35, POST, /admin/default/delete/getbooks/views/index.html, HTTP/1.1, 303, 0.039894
192.168.2.107, 2022-06-15 16:18:36, GET, /admin/default/design/getbooks, HTTP/1.1, 200, 0.649299
192.168.2.107, 2022-06-15 16:18:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000998
192.168.2.107, 2022-06-15 16:18:43, GET, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.126661
192.168.2.107, 2022-06-15 16:18:43, GET, /favicon.ico, HTTP/1.1, 400, 0.001994
192.168.2.107, 2022-06-15 16:18:44, GET, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.188495
192.168.2.107, 2022-06-15 16:18:44, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.230383
192.168.2.107, 2022-06-15 16:18:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.283239
192.168.2.107, 2022-06-15 16:18:44, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.426857
192.168.2.107, 2022-06-15 16:18:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.267286
192.168.2.107, 2022-06-15 16:18:45, GET, /getbooks/appadmin/hooks, HTTP/1.1, 200, 1.284891
192.168.2.107, 2022-06-15 16:18:50, POST, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.048868
192.168.2.107, 2022-06-15 16:18:52, GET, /getbooks/default/index, HTTP/1.1, 200, 0.075795
192.168.2.107, 2022-06-15 16:18:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
192.168.2.107, 2022-06-15 16:19:04, POST, /admin/default/edit/getbooks/views/default/index.html, HTTP/1.1, 200, 0.056847
192.168.2.107, 2022-06-15 16:19:06, GET, /getbooks/default/index, HTTP/1.1, 200, 0.081781
